timestamp_s,phase,path0_rtt_ms,path1_rtt_ms,path0_loss_pct,path1_loss_pct,loss_correlation,oco_k,oco_m,oco_redundancy_pct,oco_effective_rate,oco_recovery_pct,static_k,static_m,static_redundancy_pct,static_effective_rate,static_recovery_pct,nofec_recovery_pct,best_path_loss_pct
0,1,23.349,38.679,3.237,1.342,0.050,10,1,10.000,0.909,94.800,4,2,50.000,0.667,100.000,98.200,3.237
1,1,23.289,39.789,2.242,0.800,0.050,10,1,10.000,0.909,97.800,4,2,50.000,0.667,100.000,97.200,2.242
2,1,28.211,44.796,3.510,1.596,0.050,10,1,10.000,0.909,95.400,4,2,50.000,0.667,100.000,97.200,3.510
3,1,28.006,45.530,3.381,1.516,0.050,10,1,10.000,0.909,95.200,4,2,50.000,0.667,99.800,95.400,3.381
4,1,29.382,47.288,3.832,1.740,0.050,10,1,10.000,0.909,95.400,4,2,50.000,0.667,100.000,97.200,3.832
5,1,32.733,50.331,3.537,1.475,0.050,10,1,10.000,0.909,95.000,4,2,50.000,0.667,100.000,96.400,3.537
6,1,23.675,43.120,4.150,1.728,0.050,10,1,10.000,0.909,89.800,4,2,50.000,0.667,99.800,96.400,4.150
7,1,33.363,50.571,3.454,1.188,0.050,10,1,10.000,0.909,95.400,4,2,50.000,0.667,99.800,97.000,3.454
8,1,31.671,48.597,2.781,0.683,0.050,10,1,10.000,0.909,98.200,4,2,50.000,0.667,100.000,97.800,2.781
9,1,28.371,45.057,3.159,0.853,0.050,10,1,10.000,0.909,94.800,4,2,50.000,0.667,100.000,96.600,3.159
10,1,31.425,46.378,2.546,0.495,0.050,10,1,10.000,0.909,96.000,4,2,50.000,0.667,100.000,96.200,2.546
11,1,31.072,44.830,2.885,0.782,0.050,10,1,10.000,0.909,97.000,4,2,50.000,0.667,100.000,96.600,2.885
12,1,29.321,42.109,1.775,0.271,0.050,10,1,10.000,0.909,97.600,4,2,50.000,0.667,100.000,98.400,1.775
13,1,24.503,36.973,2.331,0.815,0.050,10,1,10.000,0.909,96.600,4,2,50.000,0.667,100.000,96.800,2.331
14,1,21.350,33.304,2.704,1.276,0.050,10,1,10.000,0.909,96.200,4,2,50.000,0.667,100.000,98.600,2.704
15,1,27.095,36.974,2.531,1.399,0.050,10,1,10.000,0.909,96.400,4,2,50.000,0.667,100.000,98.600,2.531
16,1,23.456,33.432,2.116,1.330,0.050,10,1,10.000,0.909,99.000,4,2,50.000,0.667,100.000,97.400,2.116
17,1,26.603,35.671,1.566,1.099,0.050,10,1,10.000,0.909,99.400,4,2,50.000,0.667,100.000,96.800,1.566
18,1,15.928,27.235,2.063,1.395,0.050,10,1,10.000,0.909,99.400,4,2,50.000,0.667,100.000,98.000,2.063
19,1,19.440,30.540,2.062,1.283,0.050,10,1,10.000,0.909,97.400,4,2,50.000,0.667,100.000,99.000,2.062
20,1,20.490,32.248,3.897,2.171,0.050,10,1,10.000,0.909,93.200,4,2,50.000,0.667,99.800,96.800,3.897
21,1,21.138,33.960,2.538,1.068,0.050,10,1,10.000,0.909,95.200,4,2,50.000,0.667,100.000,98.000,2.538
22,1,20.435,34.849,3.823,1.515,0.050,10,1,10.000,0.909,94.600,4,2,50.000,0.667,100.000,96.400,3.823
23,1,15.626,32.625,3.595,1.064,0.050,10,1,10.000,0.909,94.200,4,2,50.000,0.667,100.000,96.400,3.595
24,1,19.000,37.015,3.589,0.803,0.050,10,1,10.000,0.909,92.200,4,2,50.000,0.667,99.800,95.200,3.589
25,1,19.687,39.214,3.671,0.690,0.050,10,1,10.000,0.909,95.000,4,2,50.000,0.667,100.000,96.200,3.671
26,1,17.236,38.751,3.824,0.741,0.050,10,1,10.000,0.909,93.400,4,2,50.000,0.667,99.800,95.400,3.824
27,1,27.896,48.522,3.194,0.452,0.050,10,1,10.000,0.909,95.000,4,2,50.000,0.667,100.000,96.600,3.194
28,1,21.517,44.317,2.424,0.201,0.050,10,1,10.000,0.909,98.000,4,2,50.000,0.667,100.000,97.800,2.424
